game_id,home_team,away_team,winner_recommendation,confidence_level,score_prediction,spread_analysis,over_under_analysis,betting_recommendations,upset_probability,key_factors,strategic_advantages,game_script_prediction
2025_week12_001,Georgia,Tennessee,Tennessee,0.80439602252629,"{'home_score': 28, 'away_score': 26}","{'predicted_spread': 6.333730572098105, 'recommendation': 'Away'}","{'predicted_total': 51.808284735400754, 'recommendation': 'Under'}","['Under Total', 'Over Total']",0.1433417881530832,"['Turnover margin', 'Red zone', 'Third downs']","{'home': ['Pass defense', 'Run game'], 'away': ['Pass game', 'Coaching']}",Blowout
2025_week12_002,Ohio State,Michigan,Michigan,0.7372107711647427,"{'home_score': 21, 'away_score': 18}","{'predicted_spread': 12.58750290890736, 'recommendation': 'Away'}","{'predicted_total': 51.30896462224861, 'recommendation': 'Under'}","['Away ML', 'Under Total']",0.2572499215177857,"['Third downs', 'Special teams', 'Red zone']","{'home': ['Home field', 'Pass defense'], 'away': ['Run defense', 'Pass game']}",Close game
2025_week12_003,Texas,LSU,Texas,0.7555182924736137,"{'home_score': 45, 'away_score': 35}","{'predicted_spread': -10.366588811188146, 'recommendation': 'Home'}","{'predicted_total': 62.20477105743457, 'recommendation': 'Over'}","['Over Total', 'Away ML']",0.20573962446294225,"['Third downs', 'Special teams', 'Red zone']","{'home': ['Run game', 'Pass defense'], 'away': ['Pass game', 'Run defense']}",Blowout
2025_week12_004,Oregon,Washington,Washington,0.6470103240427159,"{'home_score': 22, 'away_score': 21}","{'predicted_spread': 13.66740164405045, 'recommendation': 'Away'}","{'predicted_total': 59.92088909078634, 'recommendation': 'Over'}","['Prop Bet', 'Away ML']",0.3538257274321195,"['Red zone', 'Turnover margin', 'Special teams']","{'home': ['Pass defense', 'Home field'], 'away': ['Run defense', 'Pass game']}",High-scoring
2025_week12_005,Florida State,Miami,Florida State,0.6734779955641603,"{'home_score': 28, 'away_score': 33}","{'predicted_spread': -9.772216796451321, 'recommendation': 'Home'}","{'predicted_total': 46.68782919389754, 'recommendation': 'Under'}","['Away ML', 'Under Total']",0.11047837034794972,"['Third downs', 'Special teams', 'Red zone']","{'home': ['Pass defense', 'Run game'], 'away': ['Run defense', 'Pass game']}",Defensive battle
2025_week12_006,Kansas State,TCU,TCU,0.8088404231518194,"{'home_score': 25, 'away_score': 31}","{'predicted_spread': 2.152969850469404, 'recommendation': 'Away'}","{'predicted_total': 69.10875181913255, 'recommendation': 'Over'}","['Over Total', 'Home ATS']",0.2127200978826348,"['Turnover margin', 'Red zone', 'Special teams']","{'home': ['Run game', 'Pass defense'], 'away': ['Pass game', 'Run defense']}",Defensive battle
2025_week12_007,Penn State,Michigan State,Penn State,0.663540816417147,"{'home_score': 28, 'away_score': 20}","{'predicted_spread': 4.98020203425585, 'recommendation': 'Away'}","{'predicted_total': 57.49109021698486, 'recommendation': 'Over'}","['Over Total', 'Home ATS']",0.25716981387353316,"['Turnover margin', 'Red zone', 'Third downs']","{'home': ['Home field', 'Pass defense'], 'away': ['Pass game', 'Run defense']}",Blowout
2025_week12_008,Alabama,Auburn,Alabama,0.8267056222739465,"{'home_score': 20, 'away_score': 31}","{'predicted_spread': -11.294508111615638, 'recommendation': 'Home'}","{'predicted_total': 67.11305733482007, 'recommendation': 'Over'}","['Over Total', 'Under Total']",0.27028580501267974,"['Third downs', 'Special teams', 'Red zone']","{'home': ['Pass defense', 'Home field'], 'away': ['Run defense', 'Coaching']}",Close game
2025_week12_009,Ole Miss,Missouri,Ole Miss,0.6503886960370211,"{'home_score': 37, 'away_score': 30}","{'predicted_spread': 12.213867293005627, 'recommendation': 'Away'}","{'predicted_total': 65.53314851573248, 'recommendation': 'Over'}","['Under Total', 'Prop Bet']",0.163159231896209,"['Third downs', 'Red zone', 'Turnover margin']","{'home': ['Home field', 'Run game'], 'away': ['Coaching', 'Run defense']}",Defensive battle
2025_week12_010,USC,UCLA,USC,0.6102475799193919,"{'home_score': 39, 'away_score': 18}","{'predicted_spread': 0.8723919913159435, 'recommendation': 'Away'}","{'predicted_total': 47.96201972481051, 'recommendation': 'Under'}","['Prop Bet', 'Under Total']",0.2973839612553722,"['Third downs', 'Red zone', 'Turnover margin']","{'home': ['Home field', 'Run game'], 'away': ['Run defense', 'Pass game']}",High-scoring
